32	37	29
23	22	22
30	38	28
22	31	23
28	28	21
36	38	32
35	25	23
36	32	24
39	24	36
36	24	33
35	26	34
27	39	34
34	22	33
31	21	39
34	33	28
37	35	24
23	23	38
38	35	21
33	33	29
38	39	34
24	31	27
20	29	26
21	33	30
30	32	27
31	37	39
24	24	21
35	35	30
32	33	32
24	29	34
30	22	21
29	39	35
21	32	28
29	23	29
20	21	24
37	30	34
29	33	35
24	21	34
36	22	35
33	27	21
39	20	20
22	38	32
34	25	39
24	33	26
32	23	25
32	36	39
30	38	27
37	30	23
34	27	23
36	25	31
24	38	39
26	35	33
24	36	38
24	26	32
21	28	34
22	29	29
30	21	27
34	25	26
37	37	32
28	38	26
35	27	21
37	22	36
35	31	20
20	24	29
22	27	33
22	39	38
27	35	35
31	36	32
33	25	22
37	27	29
25	35	29
22	37	27
39	36	26
23	37	26
33	21	39
33	22	22
38	38	30
27	30	31
30	37	25
20	24	25
36	29	28
39	28	29
24	25	35
20	26	33
34	31	30
29	20	20
25	20	22
23	39	32
20	23	22
37	20	28
22	34	21
32	25	22
27	26	38
35	31	22
27	28	24
22	24	35
37	30	23
34	31	23
31	31	36
33	37	24
39	24	31
24	33	22
28	30	27
21	35	22
21	20	33
31	28	32
32	36	31
27	39	31
30	38	27
31	34	29
25	31	27
29	31	27
24	32	27
20	26	31
27	33	32
39	36	25
39	25	21
21	22	25
29	33	25
32	23	27
28	24	36
23	24	29
26	25	37
27	30	39
39	34	29
31	32	35
23	27	32
38	35	21
35	30	35
26	35	28
34	31	34
24	23	28
33	32	24
28	31	32
27	23	34
34	34	36
26	24	35
21	24	23
39	38	22
26	37	37
30	22	32
33	30	36
20	27	25
36	28	21
25	27	21
35	32	36
39	29	33
21	29	22
38	30	24
31	25	22
21	37	26
20	30	26
36	24	21
22	23	20
37	35	33
34	20	39
31	38	26
39	23	33
39	33	37
39	29	26
29	24	36
28	34	38
29	26	33
33	30	39
38	29	20
38	30	24
25	30	31
35	38	38
30	25	23
33	26	31
36	36	25
28	32	36
23	38	21
38	37	33
31	23	25
31	29	24
25	25	20
23	22	30
21	29	37
31	28	23
21	32	22
28	30	29
32	34	24
30	35	21
35	32	28
29	30	35
20	36	21
31	37	28
36	32	37
36	22	39
32	34	22
23	23	35
30	29	37
35	30	34
35	27	33
38	34	39
37	21	39
38	25	35
28	38	31
27	25	33
32	37	31
28	28	33
31	35	28
26	28	35
27	20	28
31	36	20
28	30	20
30	33	23
25	36	24
26	21	29
38	27	38
35	39	35
36	33	29
27	21	28
38	37	38
25	36	29
31	27	36
38	35	30
30	26	30
27	25	27
20	33	20
32	29	39
20	29	22
37	23	37
32	38	31
22	33	33
37	36	21
24	34	33
20	36	24
25	34	25
33	37	38
34	20	36
25	39	22
20	39	32
33	25	32
27	38	35
26	36	32
21	25	33
29	31	29
35	34	24
38	29	38
35	24	31
27	23	36
38	39	37
35	34	34
38	24	35
24	37	38
37	23	30
22	34	23
30	39	32
36	22	38
25	26	35
21	27	20
31	27	33
39	35	37
31	31	38
36	23	22
32	32	21
28	21	31
38	26	21
33	34	28
24	36	28
30	36	24
27	22	35
36	27	22
29	31	27
27	22	25
20	35	21
39	28	21
35	20	34
31	34	32
33	36	35
28	22	28
39	37	26
23	32	23
28	35	24
30	36	21
37	32	21
31	33	29
24	36	32
33	26	22
39	30	35
34	28	20
31	27	39
27	39	35
25	36	37
23	25	21
23	21	36
25	36	26
21	20	39
26	34	31
28	36	37
34	25	22
30	24	28
31	20	37
31	25	28
39	30	20
36	36	35
22	22	38
27	21	27
37	30	26
21	20	31
22	30	29
25	29	31
31	24	23
39	20	20
31	33	38
37	29	39
28	21	39
28	20	27
28	27	26
25	31	31
38	23	22
35	35	26
25	20	27
39	37	35
30	30	33
31	34	36
33	34	20
29	29	33
21	21	36
36	39	31
21	39	33
27	22	31
38	24	32
39	32	35
28	20	31
34	26	36
30	21	22
29	30	33
31	22	39
32	39	37
34	38	35
27	35	36
39	37	33
20	23	23
28	26	21
32	23	25
38	36	31
37	28	26
24	32	20
23	35	34
33	38	31
23	38	30
38	20	34
25	28	29
30	35	25
32	26	23
37	29	33
27	32	26
29	36	33
27	20	25
24	30	22
38	33	28
29	23	26
28	31	21
39	30	24
32	35	37
35	33	32
24	23	32
31	27	25
34	33	28
28	35	25
25	21	35
28	23	39
34	36	20
28	38	25
20	27	29
35	31	30
31	20	25
28	22	25
28	22	21
21	20	33
31	28	38
26	24	35
35	26	22
33	36	23
33	20	27
20	27	30
35	33	24
33	39	32
27	35	38
28	25	25
23	32	23
20	38	33
22	36	37
22	24	39
37	21	32
37	21	21
34	23	29
26	22	27
23	36	34
39	31	26
35	26	20
30	32	26
38	37	25
36	28	23
25	24	22
28	38	34
28	38	24
27	21	28
22	28	35
31	23	28
27	34	30
30	20	22
27	30	29
24	27	20
20	31	24
36	28	25
24	23	37
27	29	28
24	24	26
29	24	30
21	33	32
34	30	23
32	35	38
38	26	23
30	29	37
33	31	33
30	32	34
24	25	34
34	26	32
31	36	24
36	38	34
22	32	23
28	28	30
25	31	24
32	23	31
28	31	39
33	30	23
23	30	24
23	31	35
31	34	26
36	39	32
27	27	34
28	20	23
33	25	34
22	27	20
38	26	34
32	34	27
33	38	35
25	37	31
39	38	23
31	30	23
28	36	37
20	23	25
37	23	35
26	38	29
25	33	28
39	36	22
20	27	35
27	26	24
33	29	25
27	35	32
28	33	27
33	33	33
22	23	23
34	34	20
22	21	24
37	38	22
39	36	30
38	26	36
20	20	37
22	28	30
37	23	28
38	34	37
32	35	26
34	28	25
27	34	33
26	37	28
36	25	21
37	28	30
20	23	34
21	38	35
34	38	28
35	37	27
24	27	23
33	39	38
33	28	24
29	22	22
25	32	20
32	37	36
34	38	25
24	30	20
29	24	39
24	37	30
21	30	27
23	37	36
30	38	26
36	25	34
28	39	35
26	30	23
20	33	22
21	34	33
30	32	28
29	33	23
26	24	29
32	27	29
23	32	22
20	39	36
23	28	26
28	38	34
24	32	30
32	39	33
30	36	32
24	30	29
27	36	29
34	39	32
26	35	22
25	26	32
27	36	33
30	33	34
37	26	31
22	25	27
33	35	30
36	24	24
26	25	20
36	38	22
37	30	31
31	34	35
23	27	35
31	37	26
24	30	39
35	21	22
32	39	23
30	20	37
27	33	35
26	24	25
39	30	22
37	28	21
22	38	20
35	33	28
28	36	39
29	30	38
36	31	37
37	22	35
33	38	24
22	25	34
23	24	35
21	39	33
38	23	22
32	25	20
31	37	30
25	32	34
35	34	32
29	24	36
38	24	28
35	38	34
24	23	33
28	37	22
20	29	29
23	32	22
33	28	33
27	25	25
24	21	30
20	25	21
22	36	26
37	29	36
32	33	37
34	26	39
26	25	31
22	39	27
23	30	37
29	24	25
36	37	30
22	29	24
21	38	39
32	35	21
39	23	31
20	22	32
25	34	29
36	33	39
28	29	30
30	32	39
34	39	35
21	31	28
24	26	24
37	36	20
31	36	22
39	39	23
29	31	35
32	24	28
28	34	29
35	23	22
34	24	29
26	33	21
26	26	34
26	21	23
38	33	30
25	39	33
27	38	31
33	39	36
21	33	36
27	21	31
20	21	34
26	21	21
21	35	39
30	37	25
29	22	21
36	27	38
22	28	33
33	36	35
33	39	29
39	32	33
37	21	29
25	35	29
37	37	24
36	30	36
26	38	23
20	22	23
24	37	21
26	23	36
20	31	23
26	27	29
37	33	29
25	30	23
30	25	35
32	33	31
21	23	38
24	31	36
38	35	20
28	29	29
24	38	31
32	32	24
26	32	38
33	34	21
20	32	27
34	33	21
30	29	28
25	28	30
28	32	37
38	23	29
20	28	36
26	31	36
20	21	38
31	24	26
35	32	38
39	33	35
31	33	36
33	21	20
30	29	20
25	33	31
27	35	33
27	22	29
38	33	38
35	35	27
35	26	25
29	33	35
31	36	29
37	35	37
22	30	28
38	38	37
38	26	22
37	24	26
36	23	21
31	28	35
31	37	23
37	21	35
39	37	39
29	29	20
20	23	37
32	22	34
31	39	38
39	26	39
37	20	34
33	30	20
37	23	30
24	23	32
33	26	35
21	39	37
23	34	20
30	23	22
32	28	23
